ID;City;District
1;ADANA;1
2;ADIYAMAN;2
3;AFYONKARAHİSAR;3
4;AĞRI;4
5;AMASYA;5
6;ANKARA;6
7;ANTALYA;1
8;ARTVİN;5
9;AYDIN;3
10;BALIKESİR;7
11;BİLECİK;7
12;BİNGÖL;4
13;BİTLİS;4
14;BOLU;5
15;BURDUR;1
16;BURSA;7
17;ÇANAKKALE;7
18;ÇANKIRI;6
19;ÇORUM;5
20;DENİZLİ;3
21;DİYARBAKIR;2
22;EDİRNE;7
23;ELAZIĞ;4
24;ERZİNCAN;4
25;ERZURUM;4
26;ESKİŞEHİR;6
27;GAZİANTEP;2
28;GİRESUN;5
29;GÜMÜŞHANE;5
30;HAKKARİ;4
31;HATAY;1
32;ISPARTA;1
33;MERSİN;1
34;İSTANBUL;7
35;İZMİR;3
36;KARS;4
37;KASTAMONU;5
38;KAYSERİ;6
39;KIRKLARELİ;7
40;KIRŞEHİR;6
41;KOCAELİ;7
42;KONYA;6
43;KÜTAHYA;3
44;MALATYA;4
45;MANİSA;3
46;KAHRAMANMARAŞ;1
47;MARDİN;2
48;MUĞLA;3
49;MUŞ;4
50;NEVŞEHİR;6
51;NİĞDE;6
52;ORDU;5
53;RİZE;5
54;SAKARYA;7
55;SAMSUN;5
56;SİİRT;2
57;SİNOP;5
58;SİVAS;6
59;TEKİRDAĞ;7
60;TOKAT;5
61;TRABZON;5
62;TUNCELİ;4
63;ŞANLIURFA;2
64;UŞAK;3
65;VAN;4
66;YOZGAT;6
67;ZONGULDAK;5
68;AKSARAY;6
69;BAYBURT;5
70;KARAMAN;6
71;KIRIKKALE;6
72;BATMAN;2
73;ŞIRNAK;2
74;BARTIN;5
75;ARDAHAN;4
76;IĞDIR;4
77;YALOVA;7
78;KARABÜK;5
79;KİLİS;2
80;OSMANİYE;1
81;DÜZCE;5