PN;COST
Sek Plastik Şişe Günlük Süt; 10,95TL;
İçim Rahat Laktozsuz Süt; 3,70TL;
Pınar Organik Süt; 6,90TL;
İçim Çikolatalı Pastorize Şişe Süt; 5,50TL
Sütaş Süzme Peynir; 10,45TL;
Pınar Labne; 7,20TL;
Tahsildaroğlu Çeçil Peyniri; 15,95TL;
Bahçıvan Tam Yağlı Taze Dilimli Tost Peyniri; 11,45TL;
Cihanser Kars Gravyer Peyniri; 21,75;
Sek Taze Peynir Sade; 6,95TL;
Torku Yoğurt; 15,50TL;
Sek Kaymaksız Yoğurt; 14,95TL;
Danone Activia Sade; 7,45TL;
İçim Süzme Yoğurt; 11,95TL;
Sütaş Geleneksel Tereyağı; 17,90TL;
Teremyağ Paket Margarin; 3,20TL;
Sek Paket Tereyağı; 19,25TL;
Becel Zeytinyağlı; 6,95TL;
Yumurtacım 15’li L Boy Yumurta; 6,95TL;
Keskinoğlu Free Range M 10’lu Yumurta; 8,95TL;
Cityfarm Organik 10’lu M Yumurta; 14,95TL;
Green Ranch 30’lu L Boy Yumurta; 9,90TL;
Marmarabirlik Extra Zeytin; 10,90TL;
Seleköy Doğal Salamura Zeytin; 41,90TL;
Fora Dilimli Siyah Zeytin; 7,90TL;
Çukurbahçe Gemlik Siyah Zeytin; 42,90TL;
Marmarabirlik Sade Zeytin Ezmesi; 7,90TL;
Carte D’or Dairy Selection Krem Karamel; 15,90TL;
Magnum Mini Beyaz; 19,90TL;
Magnum Double Karadut Böğürtlen; 5,50TL;
Alasko Frigo Bitter Çikolata Kaplı; 3,50TL;
Pernigotti  Vanilyalı Dondurma; 28,00TL;
Golf Maraşım Antep Fıstık Sade Keçi Sütlü; 10,49TL;
Algida Keyif Kakao-Vanilya; 6,99TL;
Koska Tost Kağıt Helva; 9,00TL;
Magnum Double Çikolata; 5,50TL;
Bravo Junior Belçika Çikolatalı; 19,90TL;
Eker Kaymak; 9,95TL;
Pınar Krema; 5,95TL;
Danette Çikolatalı Puding; 5,95TL;
Dr. Oetker Meyveli Sos; 2,50TL;
Carte D’or Hazır Sos Çikolatalı; 6,95TL;
İçim Kaymak; 11,95TL;
Eker Muzlu Puding, 2,25TL;
Dr. Oetker Krem Şanti Toz Karışım; 4,90TL;
Isola Bio Hindistan Cevizi Kreması; 27,99TL;
Nutella; 17,90TL;
Balparmak Çiçek Balı; 15,90TL;
Nestle Gold Flakes Ballı Mısır Gevreği; 8,95TL;
Nesquik Çikolatalı Kahvaltılık Gevrek; 11,95TL;
Nesfit Kırmızı Meyveli Kahvaltılık Gevrek; 14,75TL;
Tamek Portakal Reçeli; 8,90TL;
Koska Tahin Helvası; 27,95TL;
Kellogg’s Corn Flakes; 11,90TL;
Ülker Çokokrem; 9,55TL;
Ülker Kellogg’s Special K Karışık Meyveli; 12,35TL;
Sarelle Duo Sütlü Kakaolu Fındık Kreması; 9,55TL;
Arbella Burgu Makarna; 2,40TL;
Pastavilla Kelebek Makarna; 3,40TL;
Fizil Fiyonk Makarna; 3,20TL;
Pastavilla Kalem Makarna; 3,40TL;
Barilla Fusilli Burgu Makarna; 3,80TL;
Arbella Spaghetti Makarna; 2,40TL;
Barilla Tel Şehriye; 3,80TL;
Yayla Baldo Pirinç; 14,15TL;
Barilla Pipette Bukle Makarna; 3,80TL;
Pastavilla Erişte; 5,40TL;
Noba Kırmızı Mercimek; 7,75TL;
Barilla Linguine Yassı Spaghetti; 3,80TL;
Yayla Sarı Mercimek; 8,20TL;
Tarım Kredi Birlik Osmancık Pirinç; 22,40TL;
Barilla Castellane Makarna; 3,80TL;
Tarım Kredi Birlik Koçbaşı Nohut; 8,65TL;
Yudum Ayçiçek Yağı; 140,00TL;
Komili Akdeniz Lezzetleri Natürel Sızma Zeytinyağı; 63,95TL;
Tarım Kredi Birlik Ayçiçek Yağı; 36,50TL;
Sırma Mısır Yağı; 40,35TL;
Kırlangıç Natürel Zeytinyağı; 38,95TL;
Yudum Egemden Sızma Zeytinyağı; 33,95TL; 
Komili Riviera Zeytinyağı; 18,95TL;
Kırlangıç Çökeltme Natürel Sızma Zeytinyağı; 38,95TL;
Tariş Pegoso 0.5 Asit Natürel Sızma Zeytinyağı; 37,50TL;
Teofarm Natürel Sızma Zeytinyağı; 37,95TL;
Billur Tuz Rafine İyotlu Sofra Tuzu; 1,80TL;
Arifoğlu Nane; 5,63TL;
Bağdat Hindistan Cevizi; 4,95TL;
Arifoğlu Susam; 4,88TL;
Efsina Kaya Tuzu; 12,75TL;
Baharat Dünyası Kimyon; 2,25TL;
Knorr Pane Harcı; 3,75TL;
Arifoğlu Karabiber; 4,91TL;
Bağdat Karabiber; 23,95TL
Knorr Kajun Baharatlı Patates Çeşnisi; 9,90TL;
Müsan Acı Kırmızı Pul Biber; 12,95TL;
Knorr Hazır Çorba Kremalı Mantar; 2,75TL;
Fide İlikli Kemik Suyu; 7,50TL;
Knorr Çabuk Çorba Kıtırlı Domates; 1,45TL;
Knorr Hazır Çorba Şehriyeli Tavuk; 2,75TL;
Fide Tavuk Suyu; 7,50TL;
Anadolu Lezzetleri Seferhisar Sakızlı Tarhana; 21,95TL;
Bizim Mutfak Ezogelin Çorbası; 2,70TL;
Knorr Bulgurlu Analı Kızlı Çorbası; 5,45TL;
Bizim Mutfak Et Suyu Bulyon; 5,21TL;
Ülker Çikolatalı Gofret; 1,00TL;
Eti Karam Gurme Bitter Çikolatalı Gofret; 1,45TL;
Milka Beyaz Çikolata; 6,90TL;
Ülker Çokonat; 1,25TL;
9 Kat Tat Fındıklı Gofret; 1,50TL;
Eti Hoşbeş; 2,95TL;
Eti Wanted Çikolatalı Karamelli Bar; 0,75TL;
Biscolata Minis Fındıklı Gofret; 5,75TL;
Kinder Joy; 3,50TL;
Ülker Baton Çikolata Sütlü; 2,25TL;
Dido Kare Çikolatlı Gofret; 2,50TL; 
Nesquİk Beyaz Çikolata Dolgulu Sütlü Çikolata; 1,00TL;
Nestle Damak Antep Fıstıklı Kare Çikolata; 4,95TL;
Eti Karam Ekvador Bitter Çikolata; 11,95TL;
Kinder Surprise; 5,75TL;
Milka Fındıklı Çikolata; 6,90TL;
Eti Cicibebe Bisküvi; 15,95TL;
Oreo Bisküvi; 8,95TL;
Tadım Ay Çekirdeği; 5,50TL;
Ülker Pötibör Bisküvi; 5,25TL;
Eti Brownie Gold; 4,50TL;
Ülker Biskrem; 2,00TL;
Kinder Süt Dilimi; 5,30TL;
Eti Balık Kraker; 0,75TL;
Ruffels Originals; 7,00TL;
Eti Süt Burger; 1,35TL;
Lay’s Patates Cipsi; 3,95TL;
Eti Crax Peynirli Çukur Kraker; 1,50TL;
Pringles Klasik; 5,00TL;
Ülker Hanımeller Kurabiye; 4,75TL;
Tadım Çiğ Badem; 12,00TL;
Torku Tam Yulaflı Bisküvi; 4,25TL;
Tadım Festival 180G; 19,00TL;
Ülker Çokomel; 1,40TL;
Biskolata Pia; 2,95TL;
Superfresh Patates; 12,90TL;
Dardanel Fish Fingers; 16,90TL;
Feast Küp Soğan; 7,90TL;
Superfresh Taze Fasulye; 6,50TL;
Pınar Rulo Ispanaklı Börek; 11,95TL;
Feast Bezelye; 9,95TL;
Superfresh Ispanak; 7,95TL;
Darnanel Çıtır Sardalya; 22,95TL;
Tukaş Domates Salçası; 29,50TL;
Calve Mayonez; 14,75TL;
Tat Közlenmiş Patlıcan; 8,90TL;
Dardanel Ton Balığı; 22,90TL;
Berrak Salatalık Turşusu; 15,20TL;
Barilla Arabiatta Sosu; 11,50TL;
Kühne Nar Ekşisi; 18,71TL;
Tat Barbunya Pilaki; 6,65TL;
Teptip Hindistan Cevizi Sütü; 17,50TL;
Barilla Pesto Sicilinna Sosu; 11,50TL;
Dardanel Uskumru; 8,90TL;
Hellmanns Mayonez; 13,75TL;
Yayla Haşlanmış Fasulye; 9,25TL;
La Fiesta Çedar Peynirli Sos; 16,95TL;
Tat Ketçap; 6,45TL;
Barilla Basilico Makarna Sosu; 11,50TL;
Tariş Elma Sirkesi; 4,75TL;
Berrak Biberiye Turşusu; 7,25TL;
Jack Daniels Barbekü Sosu; 39,75TL;
Hellmanns Ranch Sos; 15,75TL;
Coca-Cola Şekersiz; 3,50TL;
Fanta Portakal; 4,25TL;
Sprite; 3,50TL;
Uludağ Gazoz; 12,30TL;
Schweppes Mandalina; 4,45TL;
Pepsi Max; 2,96TL;
Red Bull; 5,95TL;
Yedigün Mandalina; 4,95TL;
Çamlıcam Sade Gazoz; 3,45TL;
Lipton Ice Tea Şeftali; 4,95TL;
Cappy Portakal Suyu; 8,45TL;
Tropicana Karışık Meyve Suyu; 4,45TL;
Nescafe Xpress Latte; 6,45TL;
Exotic Portakal Suyu; 4,95TL;
Doğanay Şalgam; 6,45TL;
Starbucks Frappuccino Coffee; 12,90TL;
Uludağ Limonata; 3,95TL;
Fuse Tea Limon; 4,50TL;
Mehmet Efendi Türk Kahvesi; 18,90TL;
Lipton Yellow Label; 13,50TL;
Doğuş Filiz Çayı; 24,95TL;
Çaykur Tiryaki Çayı; 23,75TL;
Nescafe Gold; 37,45TL;
Nestle Coffee Mate; 14,95TL;
Lipton Earl Grey; 29,95TL;
Doğadan Yeşil Çay; 5,75;
Sırma Maden Suyu; 4,25TL
Damla Minera; 5,95TL;
Uludağ Premium; 16,50TL;
Akmina Maden Suyu; 7,35TL;
Domestos Çamaşır Suyu; 6,95TL;
Bingo Matik; 18,90TL;
Perwoll Beyaz; 22,90TL;
Bingo Soft; 18,90TL;